time,Real Lower Band,Real Middle Band,Real Upper Band
2024-03-28,188.8244,191.3290,193.8336
2024-03-27,187.6855,191.8880,196.0905
2024-03-26,187.5975,192.6830,197.7685
2024-03-25,188.5502,193.0270,197.5038
2024-03-22,189.2971,193.5100,197.7229
2024-03-21,189.5826,193.9160,198.2494
2024-03-20,189.5810,194.3740,199.1670
2024-03-19,189.7086,194.4370,199.1654
2024-03-18,189.8783,194.4880,199.0977
2024-03-15,188.1253,194.0940,200.0627
2024-03-14,185.5842,193.4440,201.3038
2024-03-13,183.7922,192.3640,200.9358
2024-03-12,182.1296,191.0720,200.0144
2024-03-11,180.4670,190.2420,200.0170
2024-03-08,179.7449,189.2930,198.8411
2024-03-07,179.4830,188.1770,196.8710
2024-03-06,180.0170,186.6640,193.3110
2024-03-05,180.3317,185.5700,190.8083
2024-03-04,181.6908,185.1340,188.5772
2024-03-01,181.8680,185.0210,188.1740
2024-02-29,181.5938,184.8340,188.0742
2024-02-28,181.5943,184.7190,187.8437
2024-02-27,181.5482,184.6840,187.8198
2024-02-26,181.6653,184.8580,188.0507
2024-02-23,181.5814,184.7420,187.9026
2024-02-22,181.1154,184.5150,187.9146
2024-02-21,180.8362,184.4404,188.0446
2024-02-20,180.6184,184.3756,188.1328
2024-02-16,180.9329,183.9971,187.0612
2024-02-15,181.1604,183.8771,186.5938
2024-02-14,180.7697,183.7142,186.6587
2024-02-13,180.7333,183.7523,186.7713
2024-02-12,180.6166,183.9278,187.2389
2024-02-09,180.6317,183.9165,187.2014
2024-02-08,179.6843,184.4328,189.1813
2024-02-07,179.8387,184.5007,189.1627
2024-02-06,175.4778,183.6504,191.8230
2024-02-05,171.5687,182.5949,193.6211
2024-02-02,168.4591,181.3372,194.2153
2024-02-01,165.2562,179.7010,194.1457
2024-01-31,161.2271,178.0022,194.7774
2024-01-30,158.4437,175.9943,193.5450
2024-01-29,156.4059,173.8229,191.2399
2024-01-26,154.5697,171.3957,188.2218
2024-01-25,155.3444,168.3938,181.4431
2024-01-24,156.2628,165.9478,175.6328
2024-01-23,155.2136,164.4850,173.7563
2024-01-22,154.1360,163.0766,172.0172
2024-01-19,154.3862,161.7972,169.2082
2024-01-18,155.0101,160.7694,166.5288
2024-01-17,155.1860,160.2253,165.2646
2024-01-16,155.9597,159.8328,163.7060
2024-01-12,156.5976,159.6297,162.6617
2024-01-11,156.4081,159.7278,163.0475
2024-01-10,156.4213,159.9379,163.4545
2024-01-09,156.6630,160.1312,163.5993
2024-01-08,156.9090,160.2402,163.5713
2024-01-05,157.6170,160.4285,163.2400
2024-01-04,158.0257,160.5653,163.1048
2024-01-03,158.4617,160.7218,162.9820
2024-01-02,158.7192,160.8437,162.9683
