time,EMA
2024-03-28,191.2787
2024-03-27,191.2607
2024-03-26,191.6297
2024-03-25,192.2096
2024-03-22,192.6429
2024-03-21,192.7857
2024-03-20,192.7381
2024-03-19,192.7088
2024-03-18,192.9796
2024-03-15,193.2640
2024-03-14,193.5471
2024-03-13,192.7909
2024-03-12,191.7334
2024-03-11,191.5719
2024-03-08,190.7901
2024-03-07,189.6190
2024-03-06,187.8499
2024-03-05,186.5943
2024-03-04,185.3930
2024-03-01,184.8670
2024-02-29,184.7286
2024-02-28,184.4127
2024-02-27,184.3644
2024-02-26,184.4098
2024-02-23,184.1453
2024-02-22,183.9776
2024-02-21,184.3171
2024-02-20,184.7076
2024-02-16,184.0559
2024-02-15,183.4839
2024-02-14,183.4536
2024-02-13,183.1100
2024-02-12,182.8500
2024-02-09,182.1722
2024-02-08,181.6682
2024-02-07,181.4545
2024-02-06,181.3991
2024-02-05,181.2851
2024-02-02,180.7141
2024-02-01,179.6661
2024-01-31,179.1493
2024-01-30,177.7646
2024-01-29,175.9267
2024-01-26,173.7355
2024-01-25,170.2094
2024-01-24,167.2983
2024-01-23,165.9867
2024-01-22,164.7933
2024-01-19,163.3523
2024-01-18,162.0822
2024-01-17,161.4329
2024-01-16,160.5732
2024-01-12,159.7405
2024-01-11,159.3460
2024-01-10,159.2933
2024-01-09,159.3918
2024-01-08,159.5740
2024-01-05,160.0851
2024-01-04,160.4412
2024-01-03,160.8080
2024-01-02,161.0846
2023-12-29,161.0197
2023-12-28,160.7377
2023-12-27,160.3467
2023-12-26,160.0495
2023-12-22,159.8867
2023-12-21,159.9365
2023-12-20,160.1098
2023-12-19,160.1674
2023-12-18,160.1254
2023-12-15,159.9794
2023-12-14,159.7856
2023-12-13,159.4099
2023-12-12,158.6337
2023-12-11,157.9271
2023-12-08,157.1936
2023-12-07,156.8872
2023-12-06,156.2925
2023-12-05,155.4357
2023-12-04,154.5714
2023-12-01,153.6184
2023-11-30,152.8677
2023-11-29,152.2718
2023-11-28,151.7197
2023-11-27,151.2012
2023-11-24,150.6665
2023-11-22,149.9823
2023-11-21,149.2848
2023-11-20,148.4102
2023-11-17,147.8015
2023-11-16,146.8859
2023-11-15,145.8306
2023-11-14,145.1134
2023-11-13,144.4461
2023-11-10,143.8485
2023-11-09,143.3428
2023-11-08,142.9206
2023-11-07,142.1781
2023-11-06,141.3184
2023-11-03,140.5160
2023-11-02,139.6310
2023-11-01,138.9153
2023-10-31,138.2082
2023-10-30,137.7795
2023-10-27,137.2142
2023-10-26,136.4296
2023-10-25,135.7799
2023-10-24,136.0093
2023-10-23,136.4552
2023-10-20,137.0242
2023-10-19,137.3886
2023-10-18,137.7273
2023-10-17,137.8451
2023-10-16,138.6162
2023-10-13,139.0883
2023-10-12,139.5586
2023-10-11,139.5367
2023-10-10,139.5100
2023-10-09,139.4577
2023-10-06,139.4591
2023-10-05,139.6568
2023-10-04,140.0074
2023-10-03,140.5513
2023-10-02,141.1071
2023-09-29,141.9673
2023-09-28,142.5917
2023-09-27,143.3244
2023-09-26,143.8868
2023-09-25,144.1734
2023-09-22,144.2928
2023-09-21,144.2559
2023-09-20,143.8645
2023-09-19,143.5255
2023-09-18,143.8429
2023-09-15,144.0631
2023-09-14,144.0404
2023-09-13,143.9539
2023-09-12,144.1596
2023-09-11,143.9821
2023-09-08,143.6235
2023-09-07,143.4508
2023-09-06,143.0700
2023-09-05,142.7069
2023-09-01,142.2086
2023-08-31,141.7412
2023-08-30,141.2396
2023-08-29,140.7398
2023-08-28,140.1550
2023-08-25,139.6341
2023-08-24,139.2654
2023-08-23,138.9616
2023-08-22,138.9791
2023-08-21,138.7958
2023-08-18,138.8418
2023-08-17,139.2072
2023-08-16,139.4338
2023-08-15,139.5606
2023-08-14,139.7591
2023-08-11,139.6642
2023-08-10,139.5330
2023-08-09,139.3900
2023-08-08,138.8014
2023-08-07,138.2819
2023-08-04,137.7977
2023-08-03,137.1865
2023-08-02,136.7215
2023-08-01,136.3684
2023-07-31,135.6204
2023-07-28,134.8009
2023-07-27,133.8790
2023-07-26,132.9976
2023-07-25,132.3206
2023-07-24,131.7129
2023-07-21,130.9851
2023-07-20,130.3411
2023-07-19,129.7734
2023-07-18,129.4370
2023-07-17,129.2024
2023-07-14,129.2277
2023-07-13,129.1187
2023-07-12,129.0716
2023-07-11,128.6782
2023-07-10,128.5010
2023-07-07,128.6934
2023-07-06,128.9242
2023-07-05,128.8930
2023-07-03,128.8367
2023-06-30,128.7463
2023-06-29,128.3625
2023-06-28,128.5262
2023-06-27,128.6596
2023-06-26,128.9862
2023-06-23,129.7966
2023-06-22,130.5697
2023-06-21,131.2389
2023-06-20,131.3186
2023-06-16,131.1469
2023-06-15,130.3192
2023-06-14,129.7294
2023-06-13,128.8946
2023-06-12,128.1519
2023-06-09,127.3540
2023-06-08,126.7317
2023-06-07,125.9002
2023-06-06,125.3553
2023-06-05,124.7044
2023-06-02,123.7603
2023-06-01,123.1963
2023-05-31,122.9245
2023-05-30,122.5772
2023-05-26,121.9268
2023-05-25,121.6700
2023-05-24,121.6682
2023-05-23,121.1903
2023-05-22,120.7311
2023-05-19,120.1138
2023-05-18,119.5122
2023-05-17,119.0977
2023-05-16,118.8838
2023-05-15,118.7494
2023-05-12,118.6605
2023-05-11,118.8941
2023-05-10,119.0483
2023-05-09,119.2432
2023-05-08,119.5008
2023-05-05,119.7753
2023-05-04,120.2488
2023-05-03,120.8446
2023-05-02,121.0567
2023-05-01,121.1375
2023-04-28,121.2257
2023-04-27,121.2847
2023-04-26,121.4013
2023-04-25,121.6628
2023-04-24,122.1757
2023-04-21,122.6645
2023-04-20,123.1664
2023-04-19,122.8985
2023-04-18,123.3461
2023-04-17,123.5450
2023-04-14,123.7541
2023-04-13,123.9757
2023-04-12,124.3421
2023-04-11,124.2824
2023-04-10,124.1713
2023-04-06,124.1946
2023-04-05,123.7284
2023-04-04,123.3263
2023-04-03,122.7032
2023-03-31,122.1583
2023-03-30,121.8108
2023-03-29,121.2395
