time,OBV
2024-03-28,399296857.0000
2024-03-27,395610002.0000
2024-03-26,391916697.0000
2024-03-25,396146232.0000
2024-03-22,399864521.0000
2024-03-21,403852919.0000
2024-03-20,409866480.0000
2024-03-19,406627837.0000
2024-03-18,401310496.0000
2024-03-15,395899934.0000
2024-03-14,404728118.0000
2024-03-13,408830320.0000
2024-03-12,412791057.0000
2024-03-11,406928545.0000
2024-03-08,411641233.0000
2024-03-07,415584346.0000
2024-03-06,410979888.0000
2024-03-05,404034070.0000
2024-03-04,409687711.0000
2024-03-01,401749445.0000
2024-02-29,397731091.0000
2024-02-28,404189578.0000
2024-02-27,400973233.0000
2024-02-26,397331855.0000
2024-02-23,401952670.0000
2024-02-22,398518870.0000
2024-02-21,393440472.0000
2024-02-20,398168945.0000
2024-02-16,402416126.0000
2024-02-15,397573286.0000
2024-02-14,392858985.0000
2024-02-13,396032376.0000
2024-02-12,400322829.0000
2024-02-09,405046850.0000
2024-02-08,399982209.0000
2024-02-07,394821024.0000
2024-02-06,389979836.0000
2024-02-05,393318032.0000
2024-02-02,397697634.0000
2024-02-01,401753045.0000
2024-01-31,397083601.0000
2024-01-30,405959656.0000
2024-01-29,401384598.0000
2024-01-26,407492506.0000
2024-01-25,417388447.0000
2024-01-24,387792208.0000
2024-01-23,395623365.0000
2024-01-22,391639904.0000
2024-01-19,386713940.0000
2024-01-18,379784861.0000
2024-01-17,376007871.0000
2024-01-16,380296475.0000
2024-01-12,375426840.0000
2024-01-11,370468579.0000
2024-01-10,366690184.0000
2024-01-09,363722332.0000
2024-01-08,366339518.0000
2024-01-05,363017820.0000
2024-01-04,366716781.0000
2024-01-03,363504777.0000
2024-01-02,367590842.0000
2023-12-29,371415886.0000
2023-12-28,373942055.0000
2023-12-27,371870742.0000
2023-12-26,368864130.0000
2023-12-22,367091687.0000
2023-12-21,364648972.0000
2023-12-20,361666048.0000
2023-12-19,366531845.0000
2023-12-18,370249274.0000
2023-12-15,366571741.0000
2023-12-14,377587849.0000
2023-12-13,383717653.0000
2023-12-12,388706794.0000
2023-12-11,383414504.0000
2023-12-08,377337297.0000
2023-12-07,372775955.0000
2023-12-06,376441453.0000
2023-12-05,379797885.0000
2023-12-04,375241217.0000
2023-12-01,369462200.0000
2023-11-30,364590340.0000
2023-11-29,357849718.0000
2023-11-28,354280831.0000
2023-11-27,351614649.0000
2023-11-24,347561556.0000
2023-11-22,345762395.0000
2023-11-21,342717304.0000
2023-11-20,345576812.0000
2023-11-17,341917876.0000
2023-11-16,346344552.0000
2023-11-15,342825380.0000
2023-11-14,338192861.0000
2023-11-13,333870921.0000
2023-11-10,336518209.0000
2023-11-09,333338668.0000
2023-11-08,329925955.0000
2023-11-07,333544543.0000
2023-11-06,337094396.0000
2023-11-03,332497147.0000
2023-11-02,328986652.0000
2023-11-01,325083995.0000
2023-10-31,320333914.0000
2023-10-30,313741873.0000
2023-10-27,309537683.0000
2023-10-26,315006910.0000
2023-10-25,303876740.0000
2023-10-24,310349289.0000
2023-10-23,306651314.0000
2023-10-20,310108841.0000
2023-10-19,314974456.0000
2023-10-18,320288615.0000
2023-10-17,323618600.0000
2023-10-16,319445778.0000
2023-10-13,316084310.0000
2023-10-12,320667863.0000
2023-10-11,324589005.0000
2023-10-10,322077546.0000
2023-10-09,325093330.0000
2023-10-06,322738934.0000
2023-10-05,319227587.0000
2023-10-04,316003677.0000
2023-10-03,313365898.0000
2023-10-02,316650319.0000
2023-09-29,313374858.0000
2023-09-28,319078841.0000
2023-09-27,324862263.0000
2023-09-26,329301384.0000
2023-09-25,334126038.0000
2023-09-22,336820283.0000
2023-09-21,339382499.0000
2023-09-20,344327285.0000
2023-09-19,334690604.0000
2023-09-18,330745181.0000
2023-09-15,333253243.0000
2023-09-14,339487276.0000
2023-09-13,336764076.0000
2023-09-12,334136077.0000
2023-09-11,338593772.0000
2023-09-08,335320052.0000
2023-09-07,331597125.0000
2023-09-06,334930165.0000
2023-09-05,337862368.0000
2023-09-01,334131087.0000
2023-08-31,331403291.0000
2023-08-30,335289240.0000
2023-08-29,333043838.0000
2023-08-28,330265725.0000
2023-08-25,326704378.0000
2023-08-24,323044231.0000
2023-08-23,320143987.0000
2023-08-22,317584904.0000
2023-08-21,321142638.0000
2023-08-18,318204857.0000
2023-08-17,314289377.0000
2023-08-16,310547319.0000
2023-08-15,313832666.0000
2023-08-14,317489225.0000
2023-08-11,321715788.0000
2023-08-10,324242221.0000
2023-08-09,319506458.0000
2023-08-08,323579496.0000
2023-08-07,328234078.0000
2023-08-04,324795424.0000
2023-08-03,329018628.0000
2023-08-02,325065988.0000
2023-08-01,320106607.0000
2023-07-31,324905310.0000
2023-07-28,318766408.0000
2023-07-27,312079781.0000
2023-07-26,305748218.0000
2023-07-25,301701777.0000
2023-07-24,297930964.0000
2023-07-21,294455522.0000
2023-07-20,288596781.0000
2023-07-19,277700451.0000
2023-07-18,272180459.0000
2023-07-17,268328401.0000
2023-07-14,265159982.0000
2023-07-13,268021478.0000
2023-07-12,264800056.0000
2023-07-11,268532245.0000
2023-07-10,265607007.0000
2023-07-07,263237582.0000
2023-07-06,266220320.0000
2023-07-05,269728403.0000
2023-07-03,266772533.0000
