time,RSI
2024-03-28,51.7184
2024-03-27,45.5717
2024-03-26,43.4359
2024-03-25,46.9833
2024-03-22,52.3865
2024-03-21,55.6998
2024-03-20,55.3695
2024-03-19,51.9470
2024-03-18,52.4984
2024-03-15,53.2002
2024-03-14,66.9840
2024-03-13,68.9283
2024-03-12,60.0817
2024-03-11,69.2506
2024-03-08,72.9457
2024-03-07,78.8818
2024-03-06,73.7143
2024-03-05,71.3986
2024-03-04,63.1370
2024-03-01,57.1767
2024-02-29,59.7027
2024-02-28,55.6407
2024-02-27,54.3605
2024-02-26,59.0607
2024-02-23,57.4511
2024-02-22,51.4370
2024-02-21,51.7324
2024-02-20,67.9580
2024-02-16,66.0528
2024-02-15,59.6116
2024-02-14,64.6752
2024-02-13,63.2077
2024-02-12,69.0134
2024-02-09,66.5190
2024-02-08,63.2151
2024-02-07,61.4640
2024-02-06,62.0615
2024-02-05,67.5805
2024-02-02,72.2730
2024-02-01,67.8944
2024-01-31,78.9541
2024-01-30,81.2529
2024-01-29,81.0649
2024-01-26,94.1469
2024-01-25,92.3031
2024-01-24,85.8669
2024-01-23,83.6188
2024-01-22,83.5173
2024-01-19,80.4839
2024-01-18,71.9384
2024-01-17,74.0743
2024-01-16,71.5670
2024-01-12,62.1492
2024-01-11,52.3644
2024-01-10,47.7513
2024-01-09,45.9695
2024-01-08,36.9099
2024-01-05,42.9455
2024-01-04,44.6138
2024-01-03,48.9172
2024-01-02,61.4287
2023-12-29,69.4678
2023-12-28,71.3871
2023-12-27,68.3103
2023-12-26,64.4972
2023-12-22,58.9812
2023-12-21,56.2182
2023-12-20,61.3206
2023-12-19,65.2010
2023-12-18,68.4898
2023-12-15,68.9997
2023-12-14,73.4278
2023-12-13,84.5959
2023-12-12,82.7971
2023-12-11,81.7694
2023-12-08,75.8783
2023-12-07,85.1148
2023-12-06,90.9966
2023-12-05,90.1333
2023-12-04,89.6264
2023-12-01,87.2724
2023-11-30,84.8733
2023-11-29,83.3230
2023-11-28,81.8361
2023-11-27,80.8628
2023-11-24,82.0945
2023-11-22,80.9172
2023-11-21,81.6845
2023-11-20,77.7090
2023-11-17,83.8199
2023-11-16,83.3826
2023-11-15,78.7485
2023-11-14,76.6028
2023-11-13,74.1555
2023-11-10,71.3795
2023-11-09,68.7430
2023-11-08,76.0321
2023-11-07,75.5387
2023-11-06,72.9407
2023-11-03,71.9041
2023-11-02,67.6451
2023-11-01,65.4869
2023-10-31,59.1113
2023-10-30,60.0599
2023-10-27,62.0894
2023-10-26,57.8569
2023-10-25,36.8570
2023-10-24,31.9199
2023-10-23,31.2194
2023-10-20,35.8007
2023-10-19,37.3928
2023-10-18,42.0656
2023-10-17,23.9537
2023-10-16,30.3605
2023-10-13,32.1142
2023-10-12,45.2755
2023-10-11,45.2755
2023-10-10,45.7746
2023-10-09,43.9199
2023-10-06,38.2140
2023-10-05,34.9024
2023-10-04,31.3943
2023-10-03,32.8996
2023-10-02,27.7220
2023-09-29,33.1600
2023-09-28,33.5835
2023-09-27,38.4083
2023-09-26,45.4804
2023-09-25,50.2805
2023-09-22,54.3734
2023-09-21,63.1274
2023-09-20,60.8436
2023-09-19,44.6437
2023-09-18,48.8085
2023-09-15,57.1606
2023-09-14,58.9912
2023-09-13,51.6033
2023-09-12,66.4447
2023-09-11,72.6494
2023-09-08,67.5270
2023-09-07,75.6831
2023-09-06,73.9786
2023-09-05,76.5471
2023-09-01,74.4732
2023-08-31,73.4323
2023-08-30,71.7474
2023-08-29,71.3703
2023-08-28,68.5700
2023-08-25,64.2166
2023-08-24,61.5888
2023-08-23,53.4538
2023-08-22,59.4180
2023-08-21,53.2213
2023-08-18,44.4846
2023-08-17,50.5253
2023-08-16,55.1280
2023-08-15,54.0357
2023-08-14,65.0871
2023-08-11,65.6326
2023-08-10,65.3338
2023-08-09,80.2524
2023-08-08,78.0758
2023-08-07,76.3037
2023-08-04,77.0241
2023-08-03,73.7814
2023-08-02,70.9663
2023-08-01,82.7166
