time,SMA
2024-03-27,191.8880
2024-03-26,192.6830
2024-03-25,193.0270
2024-03-22,193.5100
2024-03-21,193.9160
2024-03-20,194.3740
2024-03-19,194.4370
2024-03-18,194.4880
2024-03-15,194.0940
2024-03-14,193.4440
2024-03-13,192.3640
2024-03-12,191.0720
2024-03-11,190.2420
2024-03-08,189.2930
2024-03-07,188.1770
2024-03-06,186.6640
2024-03-05,185.5700
2024-03-04,185.1340
2024-03-01,185.0210
2024-02-29,184.8340
2024-02-28,184.7190
2024-02-27,184.6840
2024-02-26,184.8580
2024-02-23,184.7420
2024-02-22,184.5150
2024-02-21,184.4404
2024-02-20,184.3756
2024-02-16,183.9971
2024-02-15,183.8771
2024-02-14,183.7142
2024-02-13,183.7523
2024-02-12,183.9278
2024-02-09,183.9165
2024-02-08,184.4328
2024-02-07,184.5007
2024-02-06,183.6504
2024-02-05,182.5949
2024-02-02,181.3372
2024-02-01,179.7010
2024-01-31,178.0022
2024-01-30,175.9943
2024-01-29,173.8229
2024-01-26,171.3957
2024-01-25,168.3938
2024-01-24,165.9478
2024-01-23,164.4850
2024-01-22,163.0766
2024-01-19,161.7972
2024-01-18,160.7694
2024-01-17,160.2253
2024-01-16,159.8328
2024-01-12,159.6297
2024-01-11,159.7278
2024-01-10,159.9379
2024-01-09,160.1312
2024-01-08,160.2402
2024-01-05,160.4285
2024-01-04,160.5653
2024-01-03,160.7218
2024-01-02,160.8437
2023-12-29,160.7912
2023-12-28,160.7099
2023-12-27,160.7506
2023-12-26,160.7635
2023-12-22,160.8081
2023-12-21,160.6990
2023-12-20,160.7397
2023-12-19,160.7694
2023-12-18,160.6663
2023-12-15,160.4741
2023-12-14,160.0885
2023-12-13,159.4959
2023-12-12,158.6812
2023-12-11,157.9052
2023-12-08,157.1431
2023-12-07,156.6604
2023-12-06,156.0162
2023-12-05,155.3234
2023-12-04,154.5058
2023-12-01,153.8121
2023-11-30,153.2759
2023-11-29,152.6267
2023-11-28,151.9627
2023-11-27,151.2709
2023-11-24,150.5227
2023-11-22,149.6723
2023-11-21,148.9864
2023-11-20,148.2690
2023-11-17,147.6471
2023-11-16,146.9047
2023-11-15,146.0264
2023-11-14,145.3303
2023-11-13,144.5324
2023-11-10,143.8513
2023-11-09,143.3133
2023-11-08,142.7244
2023-11-07,141.5730
2023-11-06,140.3686
2023-11-03,139.2651
2023-11-02,138.3537
2023-11-01,137.6550
2023-10-31,137.1650
2023-10-30,136.5888
2023-10-27,136.2056
2023-10-26,135.8283
2023-10-25,135.8587
2023-10-24,136.3497
2023-10-23,136.9239
2023-10-20,137.4796
2023-10-19,137.7981
2023-10-18,138.0196
2023-10-17,138.0558
2023-10-16,138.4233
2023-10-13,138.4978
2023-10-12,138.7163
2023-10-11,138.6801
2023-10-10,138.7937
2023-10-09,139.0789
2023-10-06,139.4974
2023-10-05,140.0863
2023-10-04,140.8801
2023-10-03,141.6631
2023-10-02,142.0679
2023-09-29,142.6294
2023-09-28,143.1302
2023-09-27,143.6437
2023-09-26,143.8671
2023-09-25,144.1033
2023-09-22,144.2993
2023-09-21,144.2934
2023-09-20,144.2081
2023-09-19,144.1395
2023-09-18,144.4247
2023-09-15,144.5707
2023-09-14,144.5541
2023-09-13,144.4600
2023-09-12,144.4943
2023-09-11,144.2483
2023-09-08,143.8181
2023-09-07,143.4413
2023-09-06,142.8131
2023-09-05,142.3231
2023-09-01,141.6871
2023-08-31,140.9757
2023-08-30,140.3945
2023-08-29,139.9320
2023-08-28,139.4616
2023-08-25,139.2303
2023-08-24,139.1264
2023-08-23,139.0809
2023-08-22,139.3964
2023-08-21,139.5299
2023-08-18,139.7171
2023-08-17,140.0522
2023-08-16,140.1614
2023-08-15,140.1061
2023-08-14,140.2128
2023-08-11,140.1250
2023-08-10,139.9945
2023-08-09,139.7614
2023-08-08,139.1619
2023-08-07,138.5535
2023-08-04,138.0062
2023-08-03,137.3398
2023-08-02,136.7014
2023-08-01,135.9991
2023-07-31,135.0749
2023-07-28,134.0530
2023-07-27,133.1298
2023-07-26,132.2783
2023-07-25,131.7581
2023-07-24,131.2002
2023-07-21,130.4649
2023-07-20,129.8421
2023-07-19,129.4589
2023-07-18,129.2449
2023-07-17,129.1199
2023-07-14,129.2584
2023-07-13,129.0492
2023-07-12,128.9087
2023-07-11,128.5435
2023-07-10,128.1299
2023-07-07,127.9981
2023-07-06,127.9885
2023-07-05,128.1701
2023-07-03,128.4646
2023-06-30,129.0274
2023-06-29,129.2773
2023-06-28,129.8634
2023-06-27,130.2944
2023-06-26,130.7497
2023-06-23,131.2312
2023-06-22,131.6467
2023-06-21,131.7262
2023-06-20,131.4666
2023-06-16,131.1527
2023-06-15,130.2954
2023-06-14,129.4400
2023-06-13,128.5401
2023-06-12,127.8669
2023-06-09,127.0009
2023-06-08,126.1533
2023-06-07,125.4878
2023-06-06,124.9782
2023-06-05,124.5007
2023-06-02,123.8875
2023-06-01,123.3954
2023-05-31,122.9595
2023-05-30,122.4596
2023-05-26,121.8242
2023-05-25,121.2768
2023-05-24,120.9291
2023-05-23,120.3643
2023-05-22,119.8470
2023-05-19,119.3227
2023-05-18,118.8051
2023-05-17,118.4241
2023-05-16,118.4071
2023-05-15,118.5275
2023-05-12,118.6866
2023-05-11,119.0217
2023-05-10,119.2777
2023-05-09,119.4830
2023-05-08,119.6101
2023-05-05,119.7812
2023-05-04,120.0573
2023-05-03,120.7377
2023-05-02,120.8371
2023-05-01,121.0129
2023-04-28,121.1993
2023-04-27,121.3789
2023-04-26,121.5357
2023-04-25,121.9743
